name,team,battingStyle,bowlingStyle,playingRole,description
Aravind Mohan,Finland,Right hand Bat,Right arm Offbreak,,
Nuwan Thushara,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,
Ryan Bastiansz,Malta,Left hand Bat,Right arm Medium,,
Mohammad Ahnaff,Qatar,Right hand Bat,,,
Aasif Sheikh,Nepal,Right hand Bat,,Wicketkeeper Batter,
Boemo Kgosiemang,Botswana,Right hand Bat,Right arm Fast,,
Jerad Griffin,Isle of Man,Right hand Bat,Right arm Medium,,
Lucas Oluoch,Kenya,Right hand Bat,Left arm Fast medium,Bowler,
Mohammad Yasin,Spain,Left hand Bat,,,
Darshit Patankar ,Malta,Right hand Bat,,,
Sulaimon Runsewe,Nigeria,Right hand Bat,Right arm Offbreak,,
Sahan Arachchige,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Assad Mehmood,Portugal,,,,
Jonathan West,Gibraltar,Right hand Bat,Right arm Medium,,
Saran Aslam,Denmark,Right hand Bat,Right arm Medium,,
Lucas Oluoch(c),Kenya,Right hand Bat,Left arm Fast medium,Bowler,
Mahamadou Malle,Mali,Right hand Bat,Right arm Medium fast,,
Sohel Patel,Panama,Right hand Bat,Right arm Medium,,
Sarfraz Butt ,Saudi Arabia,Right hand Bat,,,
Binod Bhandari ,Nepal,Right hand Bat,Right arm Bowler,Wicketkeeper Batter,
Amandeep Singh,Portugal,Right hand Bat,Right arm Offbreak,Allrounder,
Gus Atkinson,England,Right hand Bat,Right arm Fast medium,Bowler,It may seem odd to talk of 2022 as a breakthrough year for Gus Atkinson given he only turned out for Surrey in four County Championship and six Vitality Blast matches. But there was evidently enough encouragement around his potential for the Desert Vipers to recruit him for the inaugural ILT20 at the start of 2023. 
Mirza Ahmed,Kuwait,Right hand Bat,Right arm Medium,Bowler,
Amir Zaib,Portugal,Right hand Bat,Right arm Medium fast,,
Monroux Kasselman,Botswana,,,,
Ali Raza ,Belgium,Right hand Bat,,,
Malachi Jones,Bermuda,Right hand Bat,Right arm Medium fast,Allrounder,"Malachi Jones was just 17 when he played at cricket's grandest spectacle - the World Cup - in 2007 and although he was included in only one match against India he made an instant impact, dismissing Robin Uthappa with his first ball. While he had the leadership skills to captain his club team, Willow Cuts, to domestic honours in the 2006 Premier Two-Day League, Jones's occasional lapses of temperament have caused questions to be asked about his discipline and commitment. More of a batsman in his early youth, Jones has latterly focused on his bowling and his selection to the national side was based mainly on his skills in that area. He won the Best Young Player award at the end of Bermuda's domestic season in 2006 while his father, Olin, collected the award for best player. Jones made his senior one-day debut against Kenya in November 2006, playing at the World Cup and then joining Bermuda's Under-19 squad at the Under-19 World Cup in 2008. Part of Bermuda's squad for the Intercontinental Shield competition in 2009-10, Jones nevertheless struggled as his own performances mirrored that of his team.
Liam Brickhill September 2010"
Haseeb Ghafoor ,Saudi Arabia,Right hand Bat,,,
Anthony Chambers,Portugal,Right hand Bat,Right arm Medium fast,,
Moazzam Baig(c),Malawi,Right hand Bat,Right arm Offbreak,,
Hisham Shaikh(c),Saudi Arabia,Right hand Bat,Right arm Offbreak,,
Michael Badenhorst,Botswana,,,,
Adnan Razzaq,Belgium,Right hand Bat,Right arm Medium,,
Theodore Macalou,Mali,Right hand Bat,Right arm Medium fast,,
Neil Rock,Ireland,Left hand Bat,,Wicketkeeper Batter,
Sekou Diaby,Mali,Right hand Bat,Right arm Medium fast,,
Mohsin Zaki,Bahrain,Left hand Bat,Slow Left arm Orthodox,,
Burhan Niaz,Belgium,Right hand Bat,Right arm Medium fast,,
Phon Bunthean,Cambodia,Right hand Bat,Right arm Medium,,
Akhere Isesele,Nigeria,Right hand Bat,,,
Magnus Kristensen,Denmark,,,,
Te Senglong,Cambodia,Right hand Bat,Right arm Medium,,
Dipita Loic,Cameroon,Right hand Bat,Right arm Medium fast,,
Suman Ghimire,Portugal,Right hand Bat,Right arm Offbreak,,
Khalander Mustafa,Saudi Arabia,Right hand Bat,Left arm Medium,,
Mirza Ahsan,Austria,Right hand Bat,Right arm Offbreak,,
Baljinder Singh,Romania,Left hand Bat,Slow Left arm Orthodox,,
Moustapha Diakite,Mali,Right hand Bat,Right arm Medium fast,,
Phillip Zuze ,Malawi,Right hand Bat,,,
Leano Maphane,Botswana,Right hand Bat,Right arm Offbreak,,
Nosaina Pokana,Papua New Guinea,Right hand Bat,Left arm Fast,Bowler,
Nimesh Vimukthi,Sri Lanka,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ahmed Patel,Panama,Right hand Bat,Right arm Medium,,
Mohamed Miuvaan,Maldives,Right hand Bat,Right arm Medium fast,,
Julien Abega(c),Cameroon,Right hand Bat,Right arm Medium,,
Assad Vala,Papua New Guinea,Left hand Bat,Right arm Offbreak,Batter,
Gareth Berg,Italy,Right hand Bat,Right arm Medium,Bowling Allrounder,"A bustling, brisk seam bowler and middle-order batsman, Gareth Berg learned his cricket in South Africa, playing a handful of one-day games for Western Province B, before moving to live in England and pro on the club scene. "
Ismail Ali,Maldives,Right hand Bat,Right arm Offbreak,,
Wayne Madsen,Italy,Right hand Bat,Right arm Offbreak,Batter,"Wayne Madsen's reputation blossomed in 2013 with the greater attention given to Derbyshire following their promotion to Division One of the Championship. Derbyshire were relegated immediately but their captain, Madsen, proved a formidable opponent, scoring 1221 Championship runs and being the first player to reach 1000 runs in Division One. He was named as Championship Cricketer of the Year by the Cricket Writers' Club."
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Ferdinando Banunaek,,Right hand Bat,Right arm Medium,,
Ronald Lutaaya,Uganda,Left hand Bat,,,
Ishtiaq Ahmad,Saudi Arabia,Right hand Bat,Right arm Medium fast,,
Adam Algar,Spain,Right hand Bat,Right arm Offbreak,,
Joshua Rasu,Vanuatu,Right hand Bat,Right arm Medium,,
Grant Stewart,Italy,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Fast-bowling all-rounder Grant Stewart signed his first professional contract for Kent in 2017 after his 2nd XI form promised he could alleviate the county's shortage of pace bowlers. Australian-born Stewart is not classed as an overseas player as he has an EU passport through his Italian mother. A qualified civil engineer, who grew up in New South Wales, he made his first-class debut as a bowling allrounder in the final game of the 2017 Championship season."
Mohamed Arief,Malaysia,Right hand Bat,Right arm Medium,,
Omid Mailk Khel,Belgium,Right hand Bat,,,
Kenneth Waiswa(c),Uganda,Right hand Bat,Right arm Medium,Allrounder,
Umer Toor(c),Bahrain,Right hand Bat,,Opening Batter,
Francoise Stoman,Portugal,,,,
Ahsan ul Haq,Kuwait,Right hand Bat,,,
Surinder Singh,Philippines,Right hand Bat,Right arm Medium,,
Fred Achelam,Uganda,Right hand Bat,,Wicketkeeper Batter,
Enkherdene Otgonbayar ,Mongolia,Right hand Bat,,,
Mohamed Coulibaly,Mali,Right hand Bat,Right arm Medium fast,,
Sukhkaran Sahi,Romania,Right hand Bat,Right arm Offbreak,,
Fiaz Ahmed,Bahrain,Right hand Bat,,,
Daouda Traore ,Mali,Right hand Bat,Right arm Medium fast,,
Venkatraman Ganesan,Germany,Left hand Bat,Right arm Offbreak,,
Vishal Ahir,Panama,Right hand Bat,Right arm Medium,,
Mohsin Shabbir,Saudi Arabia,Right hand Bat,,,
Imran Ali ,Bahrain,Left hand Bat,,Wicketkeeper Batter,
Didier Ndikubwimana,Rwanda,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Didier Ndikubwimana is one of the youngest captains in international cricket, leading Rwanda at the age of 19. He had already played over 30 T20Is by then. In his first match in charge, against Tanzania in August 2023, he scored his maiden international half-century, 69 off 46 balls as opener in a seven-wicket win. In their next assignment, the West Africa Trophy in October that year, Rwanda finished second, winning four and tying one of their ten matches."
Reynier Swart,Botswana,,,,
Pandara Shoufeer,Cambodia,Right hand Bat,Right arm Medium,,
Zeeshan Maqsood(c),Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Irfan Hafejee,Panama,Right hand Bat,Right arm Medium,,
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. "
Manpreet Singh ,Singapore,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Aritra Dutta(c),Singapore,Right hand Bat,,Top order Batter,
Ibrahim Kamara,Sierra Leone,Right hand Bat,Right arm Medium,,
Stuart Hook ,Estonia,Right hand Bat,Legbreak,Top order Batter,
Ramesh Kalimuthu,Singapore,Right hand Bat,Right arm Medium fast,,
Ronald Tari(c),Vanuatu,Right hand Bat,Right arm Medium,,
Hila Vare ,Papua New Guinea,Left hand Bat,,,
Shagharai Sefat,Belgium,Right hand Bat,Right arm Medium,,
Uala Kaisala,Samoa,Right hand Bat,,Wicketkeeper,
Joshua van Heerden,Germany,Right hand Bat,,,
Sukhdeep Singh,Kenya,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Narcisse Ndouteng,Cameroon,Right hand Bat,Right arm Medium fast,,
Nandre Burger,South Africa,Left hand Bat,Left arm Fast medium,Bowler,
Frank Campbell,Gambia,Right hand Bat,Right arm Medium,,
Irfan Hafejee(c),Panama,Right hand Bat,Right arm Medium,,
Mian Siddique,Japan,Right hand Bat,Right arm Fast medium,,
Hern Isorena,Philippines,Right hand Bat,,,
Pushkar Sharma,Kenya,Left hand Bat,Left arm Medium fast,,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Sahan Arachchige(c),Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Ashton Turner,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. "
Muhammed Manga,Gambia,Right hand Bat,Right arm Medium,,
Mark SimpsonParker,Austria,Right hand Bat,Right arm Medium,,
Ignace  Ntirenganya,Rwanda,Right hand Bat,Left arm Medium,,
GianPiero Meade ,Italy,Right hand Bat,Right arm Medium fast,,
Dylan Blignaut,Germany,Right hand Bat,Right arm Medium,,
Junaid Mehmood ,Norway,Right hand Bat,,,
Robert Raina,Thailand,Left hand Bat,Right arm Medium,,
Miniru Kpaka,Sierra Leone,Right hand Bat,Right arm Medium,,
Omary Kitunda ,Tanzania,Right hand Bat,Right arm Bowler,,
Sharn Gomes,Portugal,Left hand Bat,Slow Left arm Orthodox,,
Paul Ayoleyine,Ghana,Right hand Bat,Right arm Medium,,
Roger Atangana,Cameroon,Right hand Bat,Left arm Medium fast,Bowler,
Akshay Puri,Singapore,Right hand Bat,Right arm Offbreak,Bowler,
Pirakajan Pirabakaran,France,Right hand Bat,Right arm Medium fast,,
Cheick Keita,Mali,Right hand Bat,Right arm Medium fast,,
Ainool Hafizs,Malaysia,Right hand Bat,Right arm Medium,Middle order Batter,
Utkarsh Jain,Cambodia,Right hand Bat,Slow Left arm Orthodox,,
Manish Sharma,Cambodia,Right hand Bat,Right arm Offbreak,,
Roger Mukasa(c),Uganda,Right hand Bat,Right arm Offbreak,,
Justin Mosca,Italy,Left hand Bat,,,
Mustapha Suwareh,Gambia,Right hand Bat,Right arm Medium,,
Farruque Nhaduate ,Mozambique,Right hand Bat,,,
Niraj Khanna,Malta,Right hand Bat,Right arm Offbreak,,
Amal Rajeevan,Tanzania,Right hand Bat,,,
Israel Mugisha,Rwanda,Right hand Bat,Legbreak,,
Chandana Liyanage,Maldives,Left hand Bat,Right arm Medium,,
Zeeshan Ali,Hong Kong,Right hand Bat,,Wicketkeeper Batter,
Gede Prastama,Indonesia,Right hand Bat,,,
Ben Ferbrache,Guernsey,Right hand Bat,Right arm Offbreak,,
David Demba,Gambia,Right hand Bat,,,
Ismaila Tamba,Gambia,Right hand Bat,Right arm Medium,,
Sumit Singh,Finland,,,,
Josh Butler,Guernsey,Right hand Bat,Right arm Medium,,
Sakthi Seelan,Indonesia,Right hand Bat,Right arm Medium,,
Devon Conway ,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Syed Maisam Ali,Portugal,Right hand Bat,Right arm Medium,,
Azam Khan ,Pakistan,Right hand Bat,,Wicketkeeper Batter,
Afapene Ilaoa,Samoa,,,,
Noa Acawei,Fiji,Right hand Bat,,,
Aaftab Limdawala,Malawi,Left hand Bat,,,
Dhanesh Shetty,Indonesia,Right hand Bat,Right arm Medium,,
Crishan Kalugamage,Italy,Right hand Bat,Right arm Offbreak,,
Abubacarr Kuyateh,Gambia,Right hand Bat,Right arm Medium,,
Siteri Tabuisulu,Fiji,Right hand Bat,Left arm Medium fast,,
Haider Kiani,Philippines,Left hand Bat,,,
Delaimatuku Maraiwai,Fiji,Right hand Bat,,,
Aniru Conteh,Gambia,Right hand Bat,Right arm Medium,,
Areeb Quadir ,Finland,Right hand Bat,,,
Sanze Kamate,Mali,Right hand Bat,Right arm Medium fast,,
Mahamadou Diaby,Mali,Right hand Bat,Right arm Medium fast,,
Lasith Croospulle,Sri Lanka,Right hand Bat,Right arm Offbreak,Opening Batter,
Fayaz Khan,Germany,Right hand Bat,Right arm Medium,,
Peni Vuniwaqa,Fiji,Right hand Bat,Right arm Medium,,
Modou Bojang,Gambia,Right hand Bat,Right arm Medium,,
Mario Manjate,Mozambique,Right hand Bat,,,
Akshaykumar Yadav(c),Thailand,Right hand Bat,Right arm Offbreak,,
Bibek Yadav,Nepal,Right hand Bat,Right arm Medium,Bowling Allrounder,
Thilip Thilappan,Singapore,Right hand Bat,Right arm Medium,,
Shoaib Rafiq,Mexico,Right hand Bat,Right arm Medium fast,,
Abhik Patwa,Tanzania,Right hand Bat,Right arm Offbreak,Top order Batter,
Noorullah Sidiqi,Belgium,Right hand Bat,Right arm Medium fast,,
Metuisela Beitaki,Fiji,Left hand Bat,,,
Luis Hermida,Mexico,Right hand Bat,Right arm Medium,Bowler,
Pratik Singh Bais,Mexico,Right hand Bat,Right arm Medium fast,,
Kaleemullah,Oman,Right hand Bat,Right arm Medium,Bowler,"It's hard to miss Kaleemullah, who stands over two metres tall, on a cricket field. But his bowling efficiency has shifted the conversation away from his towering physical stature and more towards his lofty statistics. "
Abu Zar,Sweden,Left hand Bat,Right arm Offbreak,,
Faisal Mehmood,Belgium,Right hand Bat,Right arm Medium,,
Syed Naqvi,Italy,Right hand Bat,Right arm Medium fast,,
Chanjal Sudarsanan ,Malta,Right hand Bat,,,
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,"The latest member of the Bracewell dynasty to represent New Zealand, Michael made a late introduction to international cricket when he was handed his ODI cap in 2022, playing three times against Netherlands. He was subsequently included in New Zealand's squad for their Test tour of England, and won a debut at Trent Bridge after the captain, Kane Williamson, was ruled out by a positive Covid test on the eve of the match."
Kaushal Kumar ,Mexico,Right hand Bat,Right arm Medium,,
Scott McKechnie ,Hong Kong,Right hand Bat,,Wicketkeeper Batter,
Shahid Wasif,Hong Kong,Right hand Bat,Right arm Offbreak,Middle order Batter,
Khin Aye,Myanmar,Right hand Bat,Right arm Medium fast,,
Dieter Klein,Germany,Right hand Bat,Left arm Medium fast,,"South African left-arm seamer Dieter Klein was registered by Leicestershire during the 2016 season at which point he possessed an appealing 154 first-class wickets at 26, his deal extending until the end of 2017. Klein, who was playing for Lowerhouse in the Lancashire League, qualified as a non-overseas player by virtue of a German passport.

ESPNcricinfo staff"
Bhargav Narasimha,Mexico,Right hand Bat,Right arm Medium fast,,
Chisomo Chete ,Malawi,Right hand Bat,,,
Francis Walsh,Philippines,Right hand Bat,Right arm Medium,,
Pratik Athavale ,Oman,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Alain Toube ,Cameroon,Right hand Bat,,Wicketkeeper Batter,
Cakacaka Veretaki ,Fiji,Right hand Bat,,,
Nyein Cham Soe,Myanmar,Right hand Bat,Right arm Medium fast,,
Francis Nkhoma,Malawi,Right hand Bat,,,
Shashikant Laxman,Mexico,Right hand Bat,Right arm Medium,Batting Allrounder,
Jean Iradukunda,Rwanda,,,,
Suprit Pradhan(c),Bhutan,Right hand Bat,Right arm Medium fast,,
Thuya Aung(c),Myanmar,Right hand Bat,,,
Amit Uniyal,Chile,Right hand Bat,Right arm Offbreak,,
Sharveen Surendran,Malaysia,Right hand Bat,Right arm Offbreak,,
Matthew Montgomery,Germany,Right hand Bat,Right arm Offbreak,,
Suprit Pradhan,Bhutan,Right hand Bat,Right arm Medium fast,,
Aruna Kainessie,Sierra Leone,Right hand Bat,,,
David Hooper,Guernsey,Right hand Bat,Right arm Medium,,
Sachin Mandy,Germany,Right hand Bat,Right arm Medium,,
Vedran Zanko,Croatia,Right hand Bat,Right arm Medium fast,,
Luka Stubbs,Croatia,Right hand Bat,Right arm Medium,,
Ishak Elec,Turkey,Right hand Bat,Right arm Medium fast,,
Wang Liuyang ,China,Right hand Bat,,,
Jone Wesele,Fiji,Right hand Bat,,,
Akshay Daxini,Croatia,Right hand Bat,Right arm Offbreak,,
Tian Sen Qun,China,Right hand Bat,Right arm Medium fast,Bowler,
Salvin Stanly,Cambodia,Right hand Bat,Right arm Medium,,
Puneet Arora,Mexico,Right hand Bat,Right arm Medium,,
Mecit Ozturk,Turkey,Right hand Bat,Right arm Medium,,
Nurudeen Ibrahim,Ghana,,,,
Matija Sarenac,Serbia,Right hand Bat,Right arm Medium,,
Aryaveer Chaudhary,Singapore,Left hand Bat,Left arm Medium,,
Naseem Khan,Croatia,Right hand Bat,Right arm Medium fast,,
Yousif Wali,Bahrain,Left hand Bat,Slow Left arm Orthodox,,
Abdul Bashir,Germany,Right hand Bat,Right arm Medium,,
John Bartlett,Chile,Right hand Bat,Right arm Medium fast,,
Tenjin Rabgey,Bhutan,Right hand Bat,Legbreak,,
Jai Sinh,Switzerland,Right hand Bat,Right arm Medium fast,,
Petero Cabebula,Fiji,Right hand Bat,Right arm Medium,,
Tarun Sharma(c),Mexico,Right hand Bat,Right arm Medium,,
GH Smit,Guernsey,Right hand Bat,Right arm Offbreak,,
Shangeev Thanikaithasan ,Denmark,Right hand Bat,Legbreak Googly,,
Thilina Hewa,Cayman Islands,Right hand Bat,Left arm Medium,,
Abhishek Ahuja ,Hungary,Right hand Bat,Right arm Offbreak,,
Qasim Akram(c),Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,
Ramon Sealy(c) ,Cayman Islands,Right hand Bat,Legbreak,,
Bikram Arora(c),Malta,Right hand Bat,Legbreak,,
Metuisela Beitaki ,Fiji,Left hand Bat,,,
Pero Bosnjak ,Croatia,Right hand Bat,Right arm Bowler,,
Omar Willis,Cayman Islands,Right hand Bat,Legbreak,,
Muhammed Turkmen,Turkey,Right hand Bat,Right arm Medium,,
Ilyas Ataullah ,Turkey,Right hand Bat,Right arm Offbreak,,
Wang Qi(c),China,Right hand Bat,Right arm Medium,,
Sabawoon Davizi,Czech Republic,Left hand Bat,Right arm Medium,,
Htet Lin Aung,Myanmar,Right hand Bat,Right arm Offbreak,,
Qasim Akram,Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,
Sandeep Mohandas,Hungary,Right hand Bat,Right arm Medium fast,,
Riaz Afridi,Czech Republic,Right hand Bat,Right arm Medium,,
Nelson Aburto,Chile,Right hand Bat,Right arm Medium fast,,
Anucha Kalasi,Thailand,Right hand Bat,Legbreak,,
Zahir Mohammed,Hungary,Right hand Bat,Right arm Medium,,
Asad Mahmood,Switzerland,Right hand Bat,Right arm Offbreak,,
Shantanu Kaveri,Mexico,Right hand Bat,Right arm Medium,,
Kishen Ghalley,Bhutan,Right hand Bat,,,
Pratis GC,Nepal,Right hand Bat,Left arm Medium,Bowling Allrounder,
Hrvoje Hajnic,Croatia,Right hand Bat,Right arm Medium,,
Tashi Phuntsho,Bhutan,Right hand Bat,Right arm Medium fast,,
Muhammad Afis,Indonesia,Right hand Bat,Right arm Offbreak,,
Kashif Abbas,Saudi Arabia,Left hand Bat,Left arm Medium,,
Cihan Altun,Turkey,Right hand Bat,Right arm Medium,,
Philip Yevugah,Ghana,Right hand Bat,Right arm Medium,Allrounder,
Yasser Nazir,Bahrain,Right hand Bat,,,
Sohail Ahmad,Croatia,Right hand Bat,Right arm Medium fast,,
Antonio Faletar,Croatia,Right hand Bat,Right arm Medium,,
Guillermo Aburto ,Chile,Right hand Bat,Right arm Medium fast,,
Usman Qadir,Pakistan,Left hand Bat,Legbreak,Bowler,"Son of Pakistan's best-known spinner, Abdul Qadir, Usman has an action not too different from his father. His leg-spin fetched him nine wickets against Zimbabwe Under-19, when he was the joint-highest wicket-taker, and was again successful against Bangladesh and Sri Lanka in the tri-series, where he grabbed six wickets at 12.83. His brother Sulaman Qadir also has played for Pakistan Under-19.
Cricinfo Staff, January 2010. "
Joost Mees(c),Luxembourg,Right hand Bat,,,
Chen Zhuo Yue,China,Left hand Bat,Slow Left arm Orthodox,,
Mirza Baig,Pakistan,Right hand Bat,,Top order Batter,
Sahil Grover,Czech Republic,Right hand Bat,,,
Rod Mbaiwa,Botswana,Right hand Bat,,,
Anand Mongar,Bhutan,Right hand Bat,Right arm Offbreak,,
Wasal Bitis,Croatia,Right hand Bat,Right arm Medium fast,,
Murat Ipek,Turkey,Right hand Bat,Right arm Medium,,
Yin Chenhao,China,Right hand Bat,Right arm Medium fast,,
Luo Shilin,China,Right hand Bat,Legbreak,Bowler,
Murat Yilmaz,Turkey,Right hand Bat,Right arm Medium,,
Zhao Tianle,China,Right hand Bat,Right arm Offbreak,,
Xie Kunkun,China,Right hand Bat,Right arm Offbreak,,
Pedro Baron(c),Argentina,Right hand Bat,,,
Mubeen Tariq,Portugal,Right hand Bat,Right arm Medium,,
Rakibul Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Simo Ivetic(c),Serbia,Right hand Bat,Right arm Medium fast,,
Arun Ashokan(c),Czech Republic,Right hand Bat,Right arm Medium,,
Ali Turkmen,Turkey,Right hand Bat,Right arm Medium,,
Villame Manakitoga,Fiji,Right hand Bat,Right arm Medium,,
Aamer Jamal,Pakistan,Right hand Bat,Right arm Medium fast,Allrounder,
Marc Taylor,Bahamas,Left hand Bat,Right arm Offbreak,Opening Batter,
Oliver Rowe,Argentina,Right hand Bat,Right arm Medium,,
Ala Viraliliu,Vanuatu,Right hand Bat,,,
Shahadat Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Batter,
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,
Arun Ashokan,Czech Republic,Right hand Bat,Right arm Medium,,
Rahat Ali,Czech Republic,Right hand Bat,Right arm Medium,,
Prashant Kurup,Bahrain,Right hand Bat,,,
Diju Sheeli,Kuwait,Right hand Bat,,Batter,
Deng Jinqi,China,Right hand Bat,Right arm Offbreak,,
Pedro Baron(c) ,Argentina,Right hand Bat,,,
Festus Benn,Bahamas,Right hand Bat,Right arm Offbreak,,
Muhammet Kursat,Turkey,Right hand Bat,Right arm Medium,,
Khushdil Shah,Pakistan,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
Dane Cleaver ,New Zealand,Right hand Bat,Legbreak,Wicketkeeper Batter,"A talented aggressive opening batsman and wicketkeeper, Dane Cleaver was named in New Zealand's squad for the Under-19 World Cup in 2010. His cousin, Kane Williamson, captained the team at the 2008 event.Cricinfo staff January 2010"
Batuhan Sahin,Turkey,Right hand Bat,,,
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Medium,Bowler,
David Mauro,Argentina,Left hand Bat,Right arm Medium,,
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,
Zakir Hasan,Bangladesh,Left hand Bat,,Wicketkeeper Batter,
Cakacaka Veretaki,Fiji,Right hand Bat,,,
Matthew Humphreys,Ireland,Right hand Bat,Slow Left arm Orthodox,Bowler,
Lassina Berthe,Mali,Left hand Bat,Right arm Medium fast,,
Santiago Duggan,Argentina,,,,
Sudesh Wickramasekara,Czech Republic,Right hand Bat,Right arm Medium fast,,
Kaushal Kumar,Mexico,Right hand Bat,Right arm Medium,,
Abhijeet Ahuja,Hungary,Right hand Bat,Right arm Medium,,
Dominik Faletar,Croatia,Right hand Bat,Right arm Medium,,
Jonathan Barry,Bahamas,Right hand Bat,Right arm Bowler,Batting Allrounder,
Khalid Shah ,United Arab Emirates,Left hand Bat,,Opening Batter,
Yadwinder Singh,Hungary,Right hand Bat,Right arm Medium,,
Ali Farasat,Hungary,Right hand Bat,Right arm Offbreak,,
Christopher Osborne,Croatia,Right hand Bat,Right arm Medium,,
Sazib Bhuiyan,Czech Republic,Right hand Bat,Right arm Medium fast,,
Hasan Murad,Bangladesh,Right hand Bat,Slow Left arm Orthodox,Bowler,
Pero Bosnjak,Croatia,Right hand Bat,Right arm Bowler,,
Batuhan Sahin ,Turkey,Right hand Bat,,,
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,
Venkatesh Marghashayam,Czech Republic,Right hand Bat,Right arm Slow,,
Rohail Nazir ,Pakistan,Right hand Bat,,Wicketkeeper Batter,
Htet Lin Oo,Myanmar,Right hand Bat,Right arm Medium fast,,
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. "
Kusal Perera,Sri Lanka,Left hand Bat,,Wicketkeeper Batter,"Possessed of a short backlift, powerful forearms and relentless bloody-mindedness, left-handed batsman Kusal Janith Perera's batting is not just inspired by his hero Sanath Jayasuriya's technique, at times, it seems an exact duplicate. "
Suventhiran Santhirakumaran,France,Right hand Bat,,,
Milad Momend,Luxembourg,Right hand Bat,Right arm Medium,,
Julio Jemison ,Bahamas,Right hand Bat,,,
Ayaan Khan(c),Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Robert Mitchell,Philippines,,,,
Ivan Splicevic,Croatia,Right hand Bat,,,
Ali Yalmaz,Hungary,Right hand Bat,Right arm Medium fast,,
Pratham Hingorani,Romania,Right hand Bat,Right arm Offbreak,,
Saimoni Tuitoga,Fiji,Right hand Bat,Right arm Medium fast,,
Arafat Minhas,Pakistan,Left hand Bat,Slow Left arm Orthodox,Bowler,
Hamid Wardak,Germany,Right hand Bat,Left arm Medium,,
Dylan Steyn,Czech Republic,Left hand Bat,,,
Omair Yousuf,Pakistan,Right hand Bat,,Batter,
Tarun Sharma(c) ,Mexico,Right hand Bat,Right arm Medium,,
Harpal Virdee,Luxembourg,Right hand Bat,Right arm Offbreak,,
Musa Jobarteh,Gambia,Right hand Bat,Right arm Medium fast,,
Gary Ballance,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,"Few players have burned as brightly at the start of their international careers as Gary Ballance. From his debut in Sydney amid the wreckage of the 2013-14 Ashes, through to the West Indies tour the following winter, Ballance was a pillar of strength at No. 3 in the order. It took him just ten Tests, and 17 innings, to reach 1000 Test runs - behind only Herbert Sutcliffe and Len Hutton as the fastest for England. At that point, he averaged 67.93, with four hundreds and five fifties."
Mahmudul Hasan Joy,Bangladesh,Right hand Bat,,Top order Batter,
